Date,Close,High,Low,Open,Volume,Return,High_Low,Open_Close_Diff,Abs_Return
2025-06-16,6.23,9.95,5.38,9.91,228192500,-0.377,4.57,3.68,0.377
2025-06-23,7.43,8.08,5.98,6.14,125710400,0.193,2.1,-1.29,0.193
2025-06-30,10.5,10.76,7.615,7.875,129863800,0.413,3.145,-2.625,0.413
2025-07-07,10.11,11.205,9.61,10.875,114977300,-0.037,1.595,0.765,0.037
2025-07-14,10.24,11.51,9.91,10.34,70483500,0.013,1.6,0.1,0.013
2025-07-21,10.78,11.88,9.995,10.38,77655500,0.053,1.885,-0.4,0.053
2025-07-28,9.85,11.285,9.75,10.86,49198300,-0.086,1.535,1.01,0.086
2025-08-04,11.85,12.33,9.01,9.95,97568800,0.203,3.32,-1.9,0.203
2025-08-11,13.92,14.87,10.1,12.15,127743000,0.175,4.77,-1.77,0.175
2025-08-18,16.2,16.57,14.18,14.77,117240000,0.164,2.39,-1.43,0.164
2025-08-25,15.97,16.9,15.21,15.725,43679900,-0.014,1.69,-0.245,0.014
2025-09-01,18.18,18.32,14.95,15.06,43409000,0.138,3.37,-3.12,0.138
2025-09-08,16.06,18.1,15.4,18.08,47204300,-0.117,2.7,2.02,0.117
2025-09-15,16.58,16.98,15.555,16.006,49288300,0.032,1.425,-0.574,0.032
2025-09-22,17.67,17.95,15.69,16.53,52334000,0.066,2.26,-1.14,0.066
2025-09-29,19.11,20.02,16.835,17.75,67350000,0.081,3.185,-1.36,0.081
2025-10-06,18.8,21.08,18.1,19.355,46384100,-0.016,2.98,0.555,0.016
2025-10-13,19.51,22.44,19.18,19.44,37689200,0.038,3.26,-0.07,0.038
2025-10-20,20.85,21.8,18.77,20.07,33877600,0.069,3.03,-0.78,0.069
2025-10-27,20.76,21.375,19.53,21.25,31693200,-0.004,1.845,0.49,0.004
2025-11-03,17.13,21.34,15.92,20.775,53541400,-0.175,5.42,3.645,0.175
2025-11-10,18.65,20.2,17.495,18.335,54438600,0.089,2.705,-0.315,0.089
2025-11-17,17.93,20.99,16.891,18.62,54023700,-0.039,4.099,0.69,0.039
2025-11-24,20.25,20.31,17.74,18.03,21087700,0.129,2.57,-2.22,0.129
2025-12-01,17.58,19.89,17.35,19.58,32505800,-0.132,2.54,2.0,0.132
2025-12-08,17.93,18.912,17.4,17.7,25185300,0.02,1.512,-0.23,0.02
2025-12-15,18.26,18.87,16.885,18.12,31639800,0.018,1.985,-0.14,0.018
2025-12-22,20.47,20.71,18.48,18.58,19421800,0.121,2.23,-1.89,0.121
2025-12-29,19.09,20.39,19.03,19.94,9145300,-0.067,1.36,0.85,0.067
