Date,Close,High,Low,Open,Volume,Return,High_Low,Open_Close_Diff,Abs_Return
2016-09-22,57.167,57.384,54.134,55.444,71978800,0.043,3.25,-1.724,0.043
2016-09-29,57.233,57.766,56.365,57.213,59173800,0.001,1.401,-0.02,0.001
2016-10-06,57.318,58.331,56.851,57.397,41874800,0.001,1.48,0.079,0.001
2016-10-13,57.345,57.792,56.2,56.805,39947800,0.0,1.592,-0.539,0.0
2016-10-20,57.292,57.661,56.378,57.095,41282000,-0.001,1.283,-0.197,0.001
2016-10-27,54.898,57.667,54.562,57.417,69083800,-0.042,3.105,2.52,0.042
2016-11-03,56.74,57.042,54.444,55.049,61926300,0.034,2.599,-1.691,0.034
2016-11-10,56.91,58.397,55.968,57.016,61610500,0.003,2.429,0.106,0.003
2016-11-17,57.687,57.899,56.3,57.368,40906300,0.014,1.599,-0.319,0.014
2016-11-24,57.939,58.529,56.465,57.547,44369200,0.004,2.064,-0.392,0.004
2016-12-01,58.45,58.735,57.474,58.39,56929500,0.009,1.261,-0.06,0.009
2016-12-08,60.116,61.868,58.171,58.437,67808500,0.029,3.697,-1.679,0.029
2016-12-15,59.917,60.839,59.571,59.797,55918900,-0.003,1.268,-0.119,0.003
2016-12-22,59.93,60.467,59.744,59.744,23976100,0.0,0.723,-0.186,0.0
2016-12-29,59.658,60.62,59.565,59.797,35597300,-0.005,1.055,0.139,0.005
2017-01-05,57.614,59.93,56.983,59.857,69190400,-0.034,2.947,2.243,0.034
2017-01-12,57.262,58.012,57.109,57.919,43891600,-0.006,0.903,0.657,0.006
2017-01-19,56.638,57.142,56.14,57.056,67993100,-0.011,1.002,0.418,0.011
2017-01-26,55.045,56.963,54.78,56.87,66756400,-0.028,2.183,1.825,0.028
2017-02-02,54.076,55.563,53.87,55.224,60596100,-0.018,1.692,1.148,0.018
2017-02-09,55.696,55.709,54.571,54.571,50553400,0.03,1.139,-1.125,0.03
2017-02-16,54.202,55.87,54.162,55.669,55598000,-0.027,1.708,1.467,0.027
2017-02-23,55.602,55.81,54.088,54.53,72967900,0.026,1.721,-1.072,0.026
2017-03-02,54.269,56.426,54.256,55.455,65507100,-0.024,2.17,1.185,0.024
2017-03-09,54.919,55.234,53.787,54.008,58954400,0.012,1.447,-0.911,0.012
2017-03-16,54.758,55.153,54.537,54.939,61014300,-0.003,0.616,0.181,0.003
2017-03-23,54.932,55.106,54.109,54.671,46061800,0.003,0.998,-0.261,0.003
2017-03-30,55.274,56.171,54.47,54.939,100974000,0.006,1.701,-0.335,0.006
2017-04-06,55.569,55.903,55.2,55.421,45442400,0.005,0.703,-0.147,0.005
2017-04-13,53.908,55.408,53.78,55.401,37830900,-0.03,1.627,1.494,0.03
2017-04-20,54.517,55.14,53.894,54.216,50375200,0.011,1.246,-0.301,0.011
2017-04-27,55.388,55.636,54.209,54.296,52513500,0.016,1.427,-1.092,0.016
2017-05-04,54.859,55.589,54.517,55.113,52642000,-0.01,1.072,0.255,0.01
2017-05-11,55.431,56.269,55.411,55.836,49134300,0.01,0.859,0.406,0.01
2017-05-18,55.634,56.039,55.045,55.282,47146200,0.004,0.994,-0.352,0.004
2017-05-25,54.423,55.918,54.403,55.661,43143900,-0.022,1.514,1.237,0.022
2017-06-01,54.701,55.032,53.585,54.336,68403600,0.005,1.447,-0.365,0.005
2017-06-08,55.485,56.58,54.417,54.701,69337000,0.014,2.163,-0.784,0.014
2017-06-15,55.059,56.479,54.856,55.289,86689300,-0.008,1.623,0.23,0.008
2017-06-22,55.12,55.275,54.599,55.066,44881100,0.001,0.676,-0.054,0.001
2017-06-29,54.66,55.769,54.363,55.012,52778800,-0.008,1.406,0.352,0.008
2017-07-06,54.734,55.113,53.957,54.667,44593600,0.001,1.156,-0.068,0.001
2017-07-13,54.66,55.052,54.268,54.741,38433500,-0.001,0.784,0.081,0.001
2017-07-20,54.336,55.093,53.923,54.741,53283000,-0.006,1.17,0.406,0.006
2017-07-27,54.491,54.68,52.916,54.248,67602000,0.003,1.765,-0.243,0.003
2017-08-03,54.227,54.64,53.937,54.315,43438200,-0.005,0.703,0.088,0.005
2017-08-10,52.375,53.937,52.267,53.923,51103200,-0.034,1.67,1.548,0.034
2017-08-17,52.296,52.787,51.913,52.739,54367500,-0.002,0.874,0.444,0.002
2017-08-24,51.947,52.651,51.92,52.22,39031300,-0.007,0.73,0.273,0.007
2017-08-31,53.777,54.077,51.913,52.063,54362000,0.035,2.164,-1.713,0.035
2017-09-07,54.453,54.453,53.661,53.941,47242300,0.013,0.792,-0.512,0.013
2017-09-14,54.985,55.06,54.302,54.507,53594700,0.01,0.758,-0.478,0.01
2017-09-21,55.586,55.599,54.384,54.944,51166200,0.011,1.215,-0.642,0.011
2017-09-28,55.832,56.282,55.463,55.722,44742700,0.004,0.819,-0.109,0.004
2017-10-05,56.384,56.48,55.538,55.784,35178600,0.01,0.942,-0.601,0.01
2017-10-12,56.494,56.924,56.091,56.187,32372700,0.002,0.833,-0.307,0.002
2017-10-19,56.774,57.21,56.2,56.214,44054000,0.005,1.01,-0.56,0.005
2017-10-26,57.251,57.504,55.982,56.91,51016000,0.008,1.522,-0.341,0.008
2017-11-02,56.978,57.251,56.562,57.067,41119100,-0.005,0.689,0.089,0.005
2017-11-09,55.436,57.436,55.395,56.862,44858200,-0.027,2.041,1.427,0.027
2017-11-16,55.873,56.086,55.122,55.418,45312200,0.008,0.965,-0.455,0.008
2017-11-23,56.679,56.707,55.818,56.107,32498400,0.014,0.889,-0.572,0.014
2017-11-30,56.686,57.995,56.638,56.803,67725800,0.0,1.357,0.117,0.0
2017-12-07,57.265,57.444,56.61,56.769,53588600,0.01,0.834,-0.496,0.01
2017-12-14,57.092,57.643,56.72,57.203,66343600,-0.003,0.923,0.11,0.003
2017-12-21,57.802,58.119,57.154,57.423,35517300,0.012,0.965,-0.379,0.012
2017-12-28,59.731,59.917,57.623,57.857,41445700,0.033,2.294,-1.874,0.033
2018-01-04,59.304,60.089,59.049,59.793,51791600,-0.007,1.04,0.489,0.007
2018-01-11,60.627,60.771,59.2,59.497,45629300,0.022,1.571,-1.13,0.022
2018-01-18,60.992,61.26,59.669,60.468,53182000,0.006,1.591,-0.524,0.006
2018-01-25,60.144,61.522,59.476,61.005,57914700,-0.014,2.046,0.861,0.014
2018-02-01,53.007,61.488,52.979,60.282,136503100,-0.119,8.508,7.275,0.119
2018-02-08,52.676,53.475,50.913,53.351,103597800,-0.006,2.563,0.675,0.006
2018-02-15,52.122,53.918,52.108,53.326,53257100,-0.011,1.81,1.204,0.011
2018-02-22,52.714,55.588,52.331,52.408,76056700,0.011,3.257,-0.306,0.011
2018-03-01,51.684,53.577,51.197,52.568,84227800,-0.02,2.38,0.884,0.02
2018-03-08,51.224,52.769,51.176,51.851,81801000,-0.009,1.594,0.626,0.009
2018-03-15,52.227,52.644,51.405,51.746,88916800,0.02,1.239,-0.48,0.02
2018-03-22,50.675,52.122,50.577,51.795,86912800,-0.03,1.545,1.121,0.03
2018-03-29,52.108,52.296,50.222,51.036,61895400,0.028,2.074,-1.072,0.028
2018-04-05,53.89,54.315,51.656,52.24,72342800,0.034,2.659,-1.649,0.034
